id,name,side,avg_bat_speed,ideal_attack_angle_rate,competitive_swings,raw_swing_power_score,swing_path_efficiency_score,mechanical_swing_quality_score,mechanical_swing_quality_percentile,mechanical_swing_quality_shrunk,mechanical_swing_quality_shrunk_percentile,mechanical_swing_quality_adjusted_label,xwoba,xba,xslg,avg_exit_velocity,hard_hit_rate,barrel_rate,expanded_latent_swing_quality_score,expanded_latent_swing_quality_percentile,expanded_latent_swing_quality_shrunk,expanded_latent_swing_quality_shrunk_percentile,expanded_lsq_label,msq_reliability,msq_uncertainty_proxy,date_start,date_end,dashboard_ranking_score
663330,"Jones, Jahmai",R,73.642146245,0.5949367088607594,237,0.8079678016385211,1.0150129424161576,0.9114903720273393,90.9710391822828,0.8262835900547659,90.63032367972743,Elite reliability-adjusted mechanical profile,0.399,0.291,0.547,91.5,53.6,13.4,1.503992180611644,96.76320272572401,1.3633978992515468,96.59284497444634,Elite reliability-adjusted mechanical profile,0.9065192737219415,0.06495698024616309,2025-03-28,2025-09-30,1.3633978992515468
646240,"Devers, Rafael",L,71.574096009,0.5970149253731347,1273,0.024549086349444516,1.0393758314249049,0.5319624588871746,77.8534923339012,0.5319608837723095,80.40885860306643,Strong reliability-adjusted mechanical profile,0.367,0.244,0.487,93.5,56.1,16.0,1.3375661702988997,95.74105621805792,1.3375622098307827,96.42248722316864,Elite reliability-adjusted mechanical profile,0.9999970390488299,0.028027592733560525,2025-03-28,2025-09-30,1.3375622098307827
662139,"Varsho, Daulton",L,75.60905042,0.6238938053097345,452,1.5530703697732415,1.3544763826308863,1.453773376202064,98.63713798977854,1.4379432034998854,98.9778534923339,Elite reliability-adjusted mechanical profile,0.327,0.226,0.494,89.9,40.3,15.9,1.3394573872267488,95.9114139693356,1.3248720040342166,96.25212947189097,Elite reliability-adjusted mechanical profile,0.9891109763314455,0.047036043419179864,2025-03-28,2025-09-30,1.3248720040342166
665487,"Tatis Jr., Fernando",R,73.961910779,0.5628042843232716,1027,0.9291009907944151,0.6383251969732994,0.7837130938838572,86.71209540034071,0.783685932444937,89.09710391822829,Strong reliability-adjusted mechanical profile,0.37,0.272,0.488,93.3,51.8,10.9,1.2851897717083094,95.22998296422487,1.285145230403899,96.08177172061329,Elite reliability-adjusted mechanical profile,0.999965342624575,0.031204323970714827,2025-03-28,2025-09-30,1.285145230403899
545341,"Grichuk, Randal",R,73.901450543,0.6456521739130435,460,0.906197446388837,1.6095492858328533,1.2578733661108452,97.44463373083475,1.2452294296471498,98.29642248722317,Elite reliability-adjusted mechanical profile,0.326,0.259,0.457,92.4,49.5,11.7,1.2860180138031307,95.40034071550255,1.2730911719637419,95.9114139693356,Elite reliability-adjusted mechanical profile,0.9899481642553665,0.04662524041201569,2025-03-28,2025-09-30,1.2730911719637419
670242,"Wallner, Matt",L,76.540547781,0.564963503649635,685,1.905940166234889,0.6636376802879517,1.2847889232614202,97.78534923339012,1.2834277463224861,98.63713798977854,Elite reliability-adjusted mechanical profile,0.325,0.202,0.435,91.0,45.5,13.8,1.2699430411819808,95.05962521294718,1.268597592797332,95.74105621805792,Elite reliability-adjusted mechanical profile,0.9989405443070923,0.03820803599504351,2025-03-28,2025-09-30,1.268597592797332
695600,"Jensen, Carter",L,74.87881096,0.416,125,1.27644108405864,-1.0826583789336315,0.09689135256250425,53.4923339011925,0.0691315152790749,52.640545144804086,Above-average reliability-adjusted mechanical profile,0.447,0.336,0.633,95.4,58.3,20.8,1.7556104538306347,98.63713798977854,1.2526196373902625,95.57069846678023,Elite reliability-adjusted mechanical profile,0.7134952031398099,0.08944271909999159,2025-03-28,2025-09-30,1.2526196373902625
608701,"Refsnyder, Rob",R,73.244695518,0.6463414634146343,328,0.6574055316719547,1.6176298123430373,1.137517672007496,95.40034071550255,1.0947148649224967,96.76320272572401,Elite reliability-adjusted mechanical profile,0.338,0.243,0.457,92.0,52.3,12.3,1.2972548791452492,95.57069846678023,1.2484414394084093,95.40034071550255,Elite reliability-adjusted mechanical profile,0.9623717431928238,0.05521576303742327,2025-03-28,2025-09-30,1.2484414394084093
592518,"Machado, Manny",R,74.470826392,0.5449915110356538,1178,1.1218883848270533,0.4295064257047531,0.7756974052659033,86.37137989778535,0.7756914664024249,88.9267461669506,Strong reliability-adjusted mechanical profile,0.355,0.271,0.495,92.9,51.5,12.9,1.2421973234745434,94.71890971039181,1.242187813013032,95.22998296422487,Elite reliability-adjusted mechanical profile,0.9999923438399587,0.02913582733740325,2025-03-28,2025-09-30,1.242187813013032
695578,"Wood, James",L,76.036631333,0.4186274509803921,1020,1.7150465557059849,-1.0518568256642586,0.3315948650208631,68.14310051107326,0.33158253953405625,71.55025553662692,Above-average reliability-adjusted mechanical profile,0.361,0.259,0.493,94.3,56.3,16.3,1.225038174340696,94.54855195911414,1.2249926392813555,95.05962521294718,Elite reliability-adjusted mechanical profile,0.9999628296813159,0.03131121455425748,2025-03-28,2025-09-30,1.2249926392813555
