id,name,side,avg_bat_speed,ideal_attack_angle_rate,competitive_swings,z_avg_bat_speed,z_ideal_attack_angle_rate,raw_swing_power_score,swing_path_efficiency_score,mechanical_swing_quality_score,mechanical_swing_quality_percentile,mechanical_swing_quality_shrunk,mechanical_swing_quality_shrunk_percentile,msq_reliability,msq_uncertainty_proxy,mechanical_swing_quality_label,date_start,date_end
669717,"Wilson, Will",R,72.187389942,0.5581395348837209,172,0.2568770717734115,0.5836404361831463,0.2568770717734115,0.5836404361831463,0.42025875397827894,73.08347529812606,0.3450046377773046,72.57240204429301,0.8209338520885068,0.07624928516630233,Above-average bat-tracking mechanical profile,2025-03-28,2025-09-30
691016,"Soderstrom, Tyler",L,73.956110115,0.500523560209424,955,0.926903583468621,-0.09179043820460007,0.926903583468621,-0.09179043820460007,0.41755657263201046,72.91311754684838,0.41752684207663715,75.809199318569,0.9999287987369331,0.03235924008452868,Above-average bat-tracking mechanical profile,2025-03-28,2025-09-30
608369,"Seager, Corey",L,72.549148681,0.5458333333333332,720,0.3939185041421672,0.43937509101528427,0.3939185041421672,0.43937509101528427,0.41664679757872575,72.7427597955707,0.41633573499254783,75.63884156729131,0.9992534141916233,0.037267799624996496,Above-average bat-tracking mechanical profile,2025-03-28,2025-09-30
680777,"Jeffers, Ryan",R,72.334268206,0.5507936507936507,630,0.3125174904072151,0.49752478957375923,0.3125174904072151,0.49752478957375923,0.40502113999048717,72.57240204429301,0.40427739773632493,75.12776831345826,0.9981636952229711,0.03984095364447979,Above-average bat-tracking mechanical profile,2025-03-28,2025-09-30
680837,"Fitzgerald, Ryan",L,69.883352286,0.6285714285714286,70,-0.6159383893888989,1.4093120629706295,-0.6159383893888989,1.4093120629706295,0.3966868367908653,72.40204429301534,0.19969798343302017,61.499148211243615,0.5034146962085905,0.11952286093343936,Above-average bat-tracking mechanical profile,2025-03-28,2025-09-30
666211,"Trammell, Taylor",L,74.565880688,0.4770642201834861,218,1.1578968497853568,-0.36680379406382835,1.1578968497853568,-0.36680379406382835,0.3955465278607642,72.23168654173764,0.3508333429118681,73.25383304940375,0.8869584693595501,0.06772854614785964,Above-average bat-tracking mechanical profile,2025-03-28,2025-09-30
542303,"Ozuna, Marcell",R,72.878328156,0.5311111111111112,900,0.5186182609057277,0.2667867856937369,0.5186182609057277,0.2667867856937369,0.3927025232997323,72.06132879045997,0.3926540599582676,74.78705281090289,0.9998765901959134,0.03333333333333333,Above-average bat-tracking mechanical profile,2025-03-28,2025-09-30
665861,"Rivero, Sebastián",R,70.122365493,0.6197183098591549,71,-0.5253954149942183,1.305527136191336,-0.5253954149942183,1.305527136191336,0.3900658605985589,71.89097103918229,0.19829224360765974,61.32879045996593,0.5083558025390349,0.11867816581938533,Above-average bat-tracking mechanical profile,2025-03-28,2025-09-30
663728,"Raleigh, Cal",R,75.255424678,0.4528301886792452,1272,1.4191098790326337,-0.6508988420323869,1.4191098790326337,-0.6508988420323869,0.3841055185001234,71.7206132879046,0.38410436975220624,74.44633730834754,0.999997009290776,0.028038607704602217,Above-average bat-tracking mechanical profile,2025-03-28,2025-09-30
687597,"Beck, Jordan",R,73.199990499,0.5180467091295116,942,0.6404703779980775,0.1136330726190647,0.6404703779980775,0.1136330726190647,0.3770517253085711,71.55025553662692,0.3770211516850922,74.27597955706985,0.9999189139806909,0.03258176062255373,Above-average bat-tracking mechanical profile,2025-03-28,2025-09-30
621020,"Swanson, Dansby",R,70.895541844,0.5913200723327304,1106,-0.23250077779048905,0.9726151875178262,-0.23250077779048905,0.9726151875178262,0.37005720486366855,71.37989778534923,0.370051384208191,73.7649063032368,0.9999842709305452,0.030069238966213184,Above-average bat-tracking mechanical profile,2025-03-28,2025-09-30
595879,"Báez, Javier",R,73.507919769,0.5067934782608695,736,0.7571201328753593,-0.018288319117537567,0.7571201328753593,-0.018288319117537567,0.36941590687891085,71.20954003407155,0.36918088504802543,73.59454855195912,0.9993638015404614,0.036860489038724284,Above-average bat-tracking mechanical profile,2025-03-28,2025-09-30
686676,"Lee, Korey",R,71.05016431,0.5862068965517242,58,-0.17392670083631895,0.9126735340408787,-0.17392670083631895,0.9126735340408787,0.36937341660227985,71.03918228279386,0.1625618439939816,57.921635434412266,0.44010163343459796,0.13130643285972254,Above-average bat-tracking mechanical profile,2025-03-28,2025-09-30
669257,"Smith, Will",R,69.776257956,0.6273584905660378,636,-0.6565078595897919,1.3950928159268974,-0.6565078595897919,1.3950928159268974,0.36929247816855276,70.86882453151618,0.36865383604986884,73.42419080068143,0.9982706332881428,0.03965257928590721,Above-average bat-tracking mechanical profile,2025-03-28,2025-09-30
676356,"DeLuca, Jonny",R,71.049039596,0.585858585858586,99,-0.17435276495294866,0.9085902950198453,-0.17435276495294866,0.9085902950198453,0.3671187650334483,70.6984667802385,0.2307059891102197,63.7137989778535,0.6284233089779543,0.10050378152592121,Above-average bat-tracking mechanical profile,2025-03-28,2025-09-30
656484,"Gray, Tristan",L,74.432102482,0.4751773049645391,141,1.1072189946473214,-0.388924061983161,1.1072189946473214,-0.388924061983161,0.3591474663320802,70.52810902896081,0.2714640247655276,66.6098807495741,0.7558567168465629,0.0842151921066519,Above-average bat-tracking mechanical profile,2025-03-28,2025-09-30
